id,category,question,ground_truth,response,expected_keywords,alt_keywords,missing_expected,answer_relevance,faithfulness,oos_score,oos_verdict,latency,passed,is_oos,error
11,contact,ระบบลงทะเบียนออนไลน์,reg.nu.ac.th,"สวัสดีค่ะ น้องซีทีเป็นผู้ช่วย AI ของภาควิชาวิทยาการคอมพิวเตอร์และเทคโนโลยีสารสนเทศค่ะ 😊

นิสิตสามารถลงทะเบียนเรียน เพิ่ม-ถอนรายวิชา และยื่นคำร้องต่างๆ ได้ผ่านระบบทะเบียนออนไลน์ที่เว็บไซต์ www.reg.nu.ac.th โดยใช้รหัสประจำตัวนิสิตและรหัสผ่านที่ได้รับค่ะ หากต้องการดูคำแนะนำเพิ่มเติม สามารถเข้าไปที่ https://reg4.nu.ac.th/enrollguide.html ได้เลยค่ะ",,reg.nu.ac.th,,1.0,0.077,1.0,✅ Correctly answered,1.238,True,False,
12,contact,ดูปฏิทินการศึกษาที่ไหน,reg4.nu.ac.th/registrar/calendar.asp,คุณสามารถดูปฏิทินการศึกษาได้ที่เว็บไซต์ของกองบริการการศึกษา มหาวิทยาลัยนเรศวรค่ะ โดยมีลิงก์ดังนี้ค่ะ: https://reg4.nu.ac.th/registrar/calendar.asp?avs727811069=1 🗓️,,"reg4, calendar, ปฏิทิน",,1.0,0.292,1.0,✅ Correctly answered,1.447,True,False,
13,contact,คู่มือนิสิตอยู่ที่ไหน,reg4.nu.ac.th/publish/studentmanual,สวัสดีค่ะ 😊 คู่มือนิสิตระดับปริญญาตรี สามารถดูได้ที่ลิงก์นี้เลยค่ะ: https://reg4.nu.ac.th/publish/studentmanual2025_b.pdf,,"studentmanual, reg4, คู่มือ",,1.0,0.263,1.0,✅ Correctly answered,4.11,True,False,
14,contact,เปลี่ยนรหัสผ่านระบบทะเบียน,password.nu.ac.th,"สวัสดีค่ะ หากนิสิตต้องการเปลี่ยนรหัสผ่านระบบทะเบียน สามารถเข้าไปที่เว็บไซต์ https://password.nu.ac.th ได้เลยค่ะ รหัสผ่านใหม่ต้องประกอบด้วยตัวอักษร ตัวเลข และสัญลักษณ์ (a-z, 0-9, @, *, #, &, %, $) ความยาวไม่น้อยกว่า 6 หลัก และต้องขึ้นต้นด้วยตัวอักษรนะคะ 😊",,"password.nu.ac.th, password",,1.0,0.105,1.0,✅ Correctly answered,1.243,True,False,
15,contact,เว็บกองบริการการศึกษา,acad.nu.ac.th,เว็บไซต์กองบริการการศึกษามีที่ www.acad.nu.ac.th ค่ะ 😊,,"acad.nu.ac.th, acad",,1.0,0.4,1.0,✅ Correctly answered,1.208,True,False,
16,contact,ติดต่อเรื่องตารางเรียนที่ไหน,หน่วยตารางเรียน 0-5596-8312,หากต้องการติดต่อเรื่องตารางเรียน สามารถติดต่อได้ที่หน่วยตารางเรียน/ตารางสอน ของกองบริการการศึกษาค่ะ โดยมีเบอร์โทรศัพท์คือ 0-5596-8312 ค่ะ 🏫,,"055-968312, หน่วยตาราง",,1.0,0.25,1.0,✅ Correctly answered,1.207,True,False,
17,contact,เบอร์งานพัฒนาหลักสูตร,0-5596-8318,"สวัสดีค่ะ 😊 เบอร์โทรศัพท์ของงานพัฒนาหลักสูตรมีดังนี้ค่ะ:
* 0-5596-8318
* 0-5596-8306
* 0-5596-8307",,"055-968318, 055-968306, 055-968307",,1.0,0.143,1.0,✅ Correctly answered,3.05,True,False,
18,contact,ติดต่องานรับเข้าศึกษา,"0-5596-8304, 0-5596-8309",สำหรับงานรับเข้าศึกษา สามารถติดต่อได้ที่เบอร์ 0-5596-8304 หรือ 0-5596-8309 ค่ะ 📞,,"055-968304, 055-968309, รับเข้า",,1.0,0.231,1.0,✅ Correctly answered,1.623,True,False,
19,contact,ติดต่อหน่วยทะเบียนนิสิต,งานทะเบียนนิสิต 0-5596-8300,สวัสดีค่ะ หากนิสิตต้องการติดต่อหน่วยทะเบียนนิสิต สามารถติดต่อได้ที่ คุณพชรพรรณ ปลื้มวงศ์ หมายเลขโทรศัพท์ 055-968315 ค่ะ 😊,,"055-968300, ทะเบียน",,1.0,0.048,1.0,✅ Correctly answered,1.578,True,False,
20,contact,ติดต่อภาควิชาทางไหนได้บ้าง,"โทร 055-963262, 055-963263",,,"055-963262, 055-963263, โทร, อีเมล",,0.0,0.0,0.0,ERROR,33.731,False,False,"Error calling model 'gemini-2.5-flash-lite' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing detail"
